space	start	end	width	names	peak	strand	feature	start_position	end_position	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	163000835	163000977	143	MACS_peak_157 ENSMUSG00000026708	MACS_peak_157	+	ENSMUSG00000026708	163000898	163016469	overlapStart	-63	63	NearestStart
1	165948421	165948638	218	MACS_peak_158 ENSMUSG00000041396	MACS_peak_158	+	ENSMUSG00000041396	165925018	165927374	downstream	23403	21047	NearestStart
1	165950014	165950217	204	MACS_peak_159 ENSMUSG00000041396	MACS_peak_159	+	ENSMUSG00000041396	165925018	165927374	downstream	24996	22640	NearestStart
1	166307318	166307573	256	MACS_peak_160 ENSMUSG00000026575	MACS_peak_160	+	ENSMUSG00000026575	166237803	166334805	inside	69515	27232	NearestStart
1	169023827	169024001	175	MACS_peak_164 ENSMUSG00000060568	MACS_peak_164	+	ENSMUSG00000060568	168931606	169021136	downstream	92221	2691	NearestStart
1	172581703	172581840	138	MACS_peak_169 ENSMUSG00000038463	MACS_peak_169	+	ENSMUSG00000038463	172574699	172612918	inside	7004	7004	NearestStart
1	174280087	174280189	103	MACS_peak_174 ENSMUSG00000044708	MACS_peak_174	+	ENSMUSG00000044708	174271341	174304216	inside	8746	8746	NearestStart
1	179648772	179649045	274	MACS_peak_178 ENSMUSG00000015962	MACS_peak_178	+	ENSMUSG00000015962	179659945	179683436	upstream	-11173	10900	NearestStart
1	180237837	180237944	108	MACS_peak_179 ENSMUSG00000026500	MACS_peak_179	+	ENSMUSG00000026500	180249290	180252824	upstream	-11453	11346	NearestStart
1	16120174	16120313	140	MACS_peak_18 ENSMUSG00000025921	MACS_peak_18	+	ENSMUSG00000025921	16095963	16122630	inside	24211	2317	NearestStart
1	180780830	180780990	161	MACS_peak_181 ENSMUSG00000026494	MACS_peak_181	+	ENSMUSG00000026494	180728569	180862986	inside	52261	52261	NearestStart
1	182818906	182819114	209	MACS_peak_182 ENSMUSG00000066652	MACS_peak_182	+	ENSMUSG00000066652	182823239	182829226	upstream	-4333	4125	NearestStart
1	182854908	182855187	280	MACS_peak_183 ENSMUSG00000038793	MACS_peak_183	+	ENSMUSG00000038793	182865190	182868531	upstream	-10282	10003	NearestStart
1	182863873	182864128	256	MACS_peak_184 ENSMUSG00000038793	MACS_peak_184	+	ENSMUSG00000038793	182865190	182868531	upstream	-1317	1062	NearestStart
1	183672665	183672797	133	MACS_peak_185 ENSMUSG00000047369	MACS_peak_185	+	ENSMUSG00000047369	183669117	183694709	inside	3548	3548	NearestStart
1	184093287	184093434	148	MACS_peak_187 ENSMUSG00000026511	MACS_peak_187	+	ENSMUSG00000026511	184054868	184062050	downstream	38419	31237	NearestStart
1	188746760	188746933	174	MACS_peak_189 ENSMUSG00000039224	MACS_peak_189	+	ENSMUSG00000039224	188791295	188794506	upstream	-44535	44362	NearestStart
1	189106411	189106513	103	MACS_peak_190 ENSMUSG00000039210	MACS_peak_190	+	ENSMUSG00000039210	189039418	189175306	inside	66993	66993	NearestStart
1	190678184	190678482	299	MACS_peak_191 ENSMUSG00000084550	MACS_peak_191	+	ENSMUSG00000084550	190584355	190584458	downstream	93829	93726	NearestStart
1	191585456	191585717	262	MACS_peak_192 ENSMUSG00000026604	MACS_peak_192	+	ENSMUSG00000026604	191552147	191700574	inside	33309	33309	NearestStart
1	196263144	196263246	103	MACS_peak_194 ENSMUSG00000026640	MACS_peak_194	+	ENSMUSG00000026640	196446023	196643047	upstream	-182879	182777	NearestStart
1	4845577	4845743	167	MACS_peak_2 ENSMUSG00000033813	MACS_peak_2	+	ENSMUSG00000033813	4847884	4887983	upstream	-2307	2141	NearestStart
1	20857516	20857665	150	MACS_peak_20 ENSMUSG00000025931	MACS_peak_20	+	ENSMUSG00000025931	20880698	20929632	upstream	-23182	23033	NearestStart
1	20858218	20858320	103	MACS_peak_21 ENSMUSG00000025931	MACS_peak_21	+	ENSMUSG00000025931	20880698	20929632	upstream	-22480	22378	NearestStart
1	21221912	21222014	103	MACS_peak_23 ENSMUSG00000025934	MACS_peak_23	+	ENSMUSG00000025934	21230688	21255291	upstream	-8776	8674	NearestStart
1	31290603	31290827	225	MACS_peak_26 ENSMUSG00000026063	MACS_peak_26	+	ENSMUSG00000026063	31279684	31281132	downstream	10919	9471	NearestStart
1	34525447	34525644	198	MACS_peak_29 ENSMUSG00000026126	MACS_peak_29	+	ENSMUSG00000026126	34516591	34530620	inside	8856	4976	NearestStart
1	35754773	35755018	246	MACS_peak_31 ENSMUSG00000064601	MACS_peak_31	+	ENSMUSG00000064601	35818447	35818551	upstream	-63674	63429	NearestStart
1	35926546	35926704	159	MACS_peak_32 ENSMUSG00000064601	MACS_peak_32	+	ENSMUSG00000064601	35818447	35818551	downstream	108099	107995	NearestStart
1	36001293	36001429	137	MACS_peak_33 ENSMUSG00000045216	MACS_peak_33	+	ENSMUSG00000045216	36125245	36163289	upstream	-123952	123816	NearestStart
1	36118044	36118209	166	MACS_peak_34 ENSMUSG00000045216	MACS_peak_34	+	ENSMUSG00000045216	36125245	36163289	upstream	-7201	7036	NearestStart
1	37042732	37042962	231	MACS_peak_36 ENSMUSG00000070201	MACS_peak_36	+	ENSMUSG00000070201	37062284	37062402	upstream	-19552	19322	NearestStart
1	39585305	39585420	116	MACS_peak_37 ENSMUSG00000003135	MACS_peak_37	+	ENSMUSG00000003135	39592667	39602222	upstream	-7362	7247	NearestStart
1	39941731	39941833	103	MACS_peak_38 ENSMUSG00000026074	MACS_peak_38	+	ENSMUSG00000026074	39958075	40081770	upstream	-16344	16242	NearestStart
1	42115515	42115662	148	MACS_peak_40 ENSMUSG00000053640	MACS_peak_40	+	ENSMUSG00000053640	42286571	42287953	upstream	-171056	170909	NearestStart
1	43151158	43151267	110	MACS_peak_41 ENSMUSG00000041878	MACS_peak_41	+	ENSMUSG00000041878	43149433	43150680	downstream	1725	478	NearestStart
1	51286774	51286876	103	MACS_peak_43 ENSMUSG00000045954	MACS_peak_43	+	ENSMUSG00000045954	51345970	51359803	upstream	-59196	59094	NearestStart
1	51287156	51287268	113	MACS_peak_44 ENSMUSG00000045954	MACS_peak_44	+	ENSMUSG00000045954	51345970	51359803	upstream	-58814	58702	NearestStart
1	52921200	52921332	133	MACS_peak_47 ENSMUSG00000041426	MACS_peak_47	+	ENSMUSG00000041426	52901892	52977704	inside	19308	19308	NearestStart
1	55165430	55165532	103	MACS_peak_51 ENSMUSG00000073676	MACS_peak_51	+	ENSMUSG00000073676	55145184	55148150	downstream	20246	17280	NearestStart
1	55262753	55262893	141	MACS_peak_52 ENSMUSG00000073675	MACS_peak_52	+	ENSMUSG00000073675	55283095	55286284	upstream	-20342	20202	NearestStart
1	57663917	57664062	146	MACS_peak_55 ENSMUSG00000038305	MACS_peak_55	+	ENSMUSG00000038305	57831772	58005238	upstream	-167855	167710	NearestStart
1	57669086	57669282	197	MACS_peak_56 ENSMUSG00000038305	MACS_peak_56	+	ENSMUSG00000038305	57831772	58005238	upstream	-162686	162490	NearestStart
1	59433046	59433148	103	MACS_peak_59 ENSMUSG00000041075	MACS_peak_59	+	ENSMUSG00000041075	59539023	59543791	upstream	-105977	105875	NearestStart
1	7303609	7303798	190	MACS_peak_6 ENSMUSG00000077244	MACS_peak_6	+	ENSMUSG00000077244	7255884	7256013	downstream	47725	47596	NearestStart
1	59480084	59480295	212	MACS_peak_60 ENSMUSG00000041075	MACS_peak_60	+	ENSMUSG00000041075	59539023	59543791	upstream	-58939	58728	NearestStart
1	59505934	59506081	148	MACS_peak_61 ENSMUSG00000041075	MACS_peak_61	+	ENSMUSG00000041075	59539023	59543791	upstream	-33089	32942	NearestStart
1	62228429	62228613	185	MACS_peak_62 ENSMUSG00000046526	MACS_peak_62	+	ENSMUSG00000046526	62685419	62685827	upstream	-456990	456806	NearestStart
1	62610966	62611119	154	MACS_peak_63 ENSMUSG00000046526	MACS_peak_63	+	ENSMUSG00000046526	62685419	62685827	upstream	-74453	74300	NearestStart
1	62784559	62784763	205	MACS_peak_64 ENSMUSG00000025969	MACS_peak_64	+	ENSMUSG00000025969	62749859	62865269	inside	34700	34700	NearestStart
1	65469274	65469382	109	MACS_peak_68 ENSMUSG00000025946	MACS_peak_68	+	ENSMUSG00000025946	65357831	65435818	downstream	111443	33456	NearestStart
1	70853463	70853571	109	MACS_peak_69 ENSMUSG00000045648	MACS_peak_69	+	ENSMUSG00000045648	70772289	70931971	inside	81174	78400	NearestStart
1	7722918	7723031	114	MACS_peak_7 ENSMUSG00000054338	MACS_peak_7	+	ENSMUSG00000054338	7488080	7488381	downstream	234838	234537	NearestStart
1	72275642	72275889	248	MACS_peak_70 ENSMUSG00000075752	MACS_peak_70	+	ENSMUSG00000075752	72272814	72273004	downstream	2828	2638	NearestStart
1	72290924	72291031	108	MACS_peak_71 ENSMUSG00000075797	MACS_peak_71	+	ENSMUSG00000075797	72290787	72290977	overlapEnd	137	53	NearestStart
1	72301727	72302018	292	MACS_peak_72 ENSMUSG00000075806	MACS_peak_72	+	ENSMUSG00000075806	72301582	72301772	overlapEnd	145	45	NearestStart
1	74157997	74158099	103	MACS_peak_73 ENSMUSG00000061815	MACS_peak_73	+	ENSMUSG00000061815	74172115	74194797	upstream	-14118	14016	NearestStart
1	74871568	74871763	196	MACS_peak_74 ENSMUSG00000033204	MACS_peak_74	+	ENSMUSG00000033204	74901678	74902781	upstream	-30110	29915	NearestStart
1	75801131	75801347	217	MACS_peak_76 ENSMUSG00000082012	MACS_peak_76	+	ENSMUSG00000082012	75632965	75633754	downstream	168166	167377	NearestStart
1	11267982	11268208	227	MACS_peak_8 ENSMUSG00000079663	MACS_peak_8	+	ENSMUSG00000079663	11404193	11527788	upstream	-136211	135985	NearestStart
1	88084500	88084759	260	MACS_peak_85 ENSMUSG00000062590	MACS_peak_85	+	ENSMUSG00000062590	88051355	88174859	inside	33145	33145	NearestStart
1	88098000	88098138	139	MACS_peak_86 ENSMUSG00000062590	MACS_peak_86	+	ENSMUSG00000062590	88051355	88174859	inside	46645	46645	NearestStart
1	88205913	88206111	199	MACS_peak_87 ENSMUSG00000079445	MACS_peak_87	+	ENSMUSG00000079445	88200043	88203878	downstream	5870	2035	NearestStart
1	88207533	88207908	376	MACS_peak_88 ENSMUSG00000079445	MACS_peak_88	+	ENSMUSG00000079445	88200043	88203878	downstream	7490	3655	NearestStart
1	88385491	88385620	130	MACS_peak_89 ENSMUSG00000067125	MACS_peak_89	+	ENSMUSG00000067125	88370234	88370581	downstream	15257	14910	NearestStart
1	12735208	12735349	142	MACS_peak_9 ENSMUSG00000016918	MACS_peak_9	+	ENSMUSG00000016918	12708610	12850458	inside	26598	26598	NearestStart
1	88406139	88406329	191	MACS_peak_90 ENSMUSG00000026238	MACS_peak_90	+	ENSMUSG00000026238	88423311	88427273	upstream	-17172	16982	NearestStart
1	88423087	88423300	214	MACS_peak_91 ENSMUSG00000026238	MACS_peak_91	+	ENSMUSG00000026238	88423311	88427273	upstream	-224	11	NearestStart
1	89122928	89123252	325	MACS_peak_92 ENSMUSG00000026254	MACS_peak_92	+	ENSMUSG00000026254	89110489	89137063	inside	12439	12439	NearestStart
1	89127262	89127464	203	MACS_peak_93 ENSMUSG00000026254	MACS_peak_93	+	ENSMUSG00000026254	89110489	89137063	inside	16773	9599	NearestStart
1	92652949	92653147	199	MACS_peak_96 ENSMUSG00000056128	MACS_peak_96	+	ENSMUSG00000056128	92571736	92576368	downstream	81213	76581	NearestStart
1	4712861	4712963	103	MACS_peak_1 ENSMUSG00000033845	MACS_peak_1	-	ENSMUSG00000033845	4764533	4775790	downstream	62929	51570	NearestStart
1	99983141	99983290	150	MACS_peak_100 ENSMUSG00000073605	MACS_peak_100	-	ENSMUSG00000073605	99980855	99981294	upstream	-1847	1847	NearestStart
1	103525187	103525349	163	MACS_peak_102 ENSMUSG00000077295	MACS_peak_102	-	ENSMUSG00000077295	104003026	104003157	downstream	477970	477677	NearestStart
1	120945688	120945865	178	MACS_peak_106 ENSMUSG00000048402	MACS_peak_106	-	ENSMUSG00000048402	120730638	120950196	inside	4508	4331	NearestStart
1	121201996	121202101	106	MACS_peak_107 ENSMUSG00000037035	MACS_peak_107	-	ENSMUSG00000037035	121312042	121318825	downstream	116829	109941	NearestStart
1	121244419	121244606	188	MACS_peak_108 ENSMUSG00000037035	MACS_peak_108	-	ENSMUSG00000037035	121312042	121318825	downstream	74406	67436	NearestStart
1	121350384	121350527	144	MACS_peak_109 ENSMUSG00000037035	MACS_peak_109	-	ENSMUSG00000037035	121312042	121318825	upstream	-31559	31559	NearestStart
1	12981149	12981379	231	MACS_peak_11 ENSMUSG00000025938	MACS_peak_11	-	ENSMUSG00000025938	12856633	12981258	overlapStart	109	109	NearestStart
1	122983888	122984041	154	MACS_peak_110 ENSMUSG00000003721	MACS_peak_110	-	ENSMUSG00000003721	123200934	123229157	downstream	245269	216893	NearestStart
1	128274361	128274463	103	MACS_peak_113 ENSMUSG00000080345	MACS_peak_113	-	ENSMUSG00000080345	128364712	128364801	downstream	90440	90249	NearestStart
1	130303545	130303670	126	MACS_peak_114 ENSMUSG00000026356	MACS_peak_114	-	ENSMUSG00000026356	130260285	130313902	inside	10357	10232	NearestStart
1	133375478	133375583	106	MACS_peak_115 ENSMUSG00000076287	MACS_peak_115	-	ENSMUSG00000076287	133395216	133395379	downstream	19901	19633	NearestStart
1	135294249	135294613	365	MACS_peak_119 ENSMUSG00000070643	MACS_peak_119	-	ENSMUSG00000070643	135279099	135320789	inside	26540	15150	NearestStart
1	135308245	135308387	143	MACS_peak_120 ENSMUSG00000070643	MACS_peak_120	-	ENSMUSG00000070643	135279099	135320789	inside	12544	12402	NearestStart
1	135389106	135389397	292	MACS_peak_121 ENSMUSG00000070643	MACS_peak_121	-	ENSMUSG00000070643	135279099	135320789	upstream	-68317	68317	NearestStart
1	135389990	135390209	220	MACS_peak_122 ENSMUSG00000070643	MACS_peak_122	-	ENSMUSG00000070643	135279099	135320789	upstream	-69201	69201	NearestStart
1	135591100	135591306	207	MACS_peak_124 ENSMUSG00000051998	MACS_peak_124	-	ENSMUSG00000051998	135575677	135586593	upstream	-4507	4507	NearestStart
1	136431700	136431959	260	MACS_peak_127 ENSMUSG00000046367	MACS_peak_127	-	ENSMUSG00000046367	136437562	136438487	downstream	6787	5603	NearestStart
1	137082643	137082758	116	MACS_peak_128 ENSMUSG00000026424	MACS_peak_128	-	ENSMUSG00000026424	137056829	137064258	upstream	-18385	18385	NearestStart
1	137095748	137095973	226	MACS_peak_129 ENSMUSG00000026424	MACS_peak_129	-	ENSMUSG00000026424	137056829	137064258	upstream	-31490	31490	NearestStart
1	137572388	137572490	103	MACS_peak_134 ENSMUSG00000009418	MACS_peak_134	-	ENSMUSG00000009418	137335450	137584682	inside	12294	12192	NearestStart
1	137573653	137573806	154	MACS_peak_135 ENSMUSG00000009418	MACS_peak_135	-	ENSMUSG00000009418	137335450	137584682	inside	11029	10876	NearestStart
1	138466947	138467116	170	MACS_peak_136 ENSMUSG00000079285	MACS_peak_136	-	ENSMUSG00000079285	138447588	138447854	upstream	-19093	19093	NearestStart
1	139070656	139070881	226	MACS_peak_141 ENSMUSG00000077207	MACS_peak_141	-	ENSMUSG00000077207	139112121	139112224	downstream	41568	41240	NearestStart
1	139275238	139275416	179	MACS_peak_142 ENSMUSG00000077207	MACS_peak_142	-	ENSMUSG00000077207	139112121	139112224	upstream	-163014	163014	NearestStart
1	153728056	153728211	156	MACS_peak_146 ENSMUSG00000073540	MACS_peak_146	-	ENSMUSG00000073540	153736468	153736560	downstream	8504	8257	NearestStart
1	153917677	153917865	189	MACS_peak_147 ENSMUSG00000032666	MACS_peak_147	-	ENSMUSG00000032666	153737978	153937229	inside	19552	19364	NearestStart
1	154762937	154763053	117	MACS_peak_148 ENSMUSG00000042772	MACS_peak_148	-	ENSMUSG00000042772	154684126	154749752	upstream	-13185	13185	NearestStart
1	14215645	14215841	197	MACS_peak_15 ENSMUSG00000025932	MACS_peak_15	-	ENSMUSG00000025932	14159035	14300281	inside	84636	56610	NearestStart
1	155223690	155223893	204	MACS_peak_151 ENSMUSG00000073538	MACS_peak_151	-	ENSMUSG00000073538	155251957	155255559	downstream	31869	28064	NearestStart
1	155407987	155408209	223	MACS_peak_152 ENSMUSG00000042684	MACS_peak_152	-	ENSMUSG00000042684	155350147	155396846	upstream	-11141	11141	NearestStart
1	158910012	158910164	153	MACS_peak_153 ENSMUSG00000026594	MACS_peak_153	-	ENSMUSG00000026594	158738253	158869664	upstream	-40348	40348	NearestStart
1	158913771	158913913	143	MACS_peak_154 ENSMUSG00000026594	MACS_peak_154	-	ENSMUSG00000026594	158738253	158869664	upstream	-44107	44107	NearestStart
1	160286347	160286508	162	MACS_peak_156 ENSMUSG00000004031	MACS_peak_156	-	ENSMUSG00000004031	160175397	160286393	overlapStart	46	46	NearestStart
1	14282439	14282577	139	MACS_peak_16 ENSMUSG00000025932	MACS_peak_16	-	ENSMUSG00000025932	14159035	14300281	inside	17842	17704	NearestStart
1	167544199	167544325	127	MACS_peak_161 ENSMUSG00000026566	MACS_peak_161	-	ENSMUSG00000026566	167522314	167564658	inside	20459	20333	NearestStart
1	167896811	167896938	128	MACS_peak_162 ENSMUSG00000026565	MACS_peak_162	-	ENSMUSG00000026565	167805616	167932765	inside	35954	35827	NearestStart
1	167933296	167933461	166	MACS_peak_163 ENSMUSG00000026565	MACS_peak_163	-	ENSMUSG00000026565	167805616	167932765	upstream	-531	531	NearestStart
1	169200631	169200759	129	MACS_peak_165 ENSMUSG00000026558	MACS_peak_165	-	ENSMUSG00000026558	169156219	169215192	inside	14561	14433	NearestStart
1	169219829	169219982	154	MACS_peak_166 ENSMUSG00000026558	MACS_peak_166	-	ENSMUSG00000026558	169156219	169215192	upstream	-4637	4637	NearestStart
1	169428188	169428382	195	MACS_peak_167 ENSMUSG00000040485	MACS_peak_167	-	ENSMUSG00000040485	169375806	169396911	upstream	-31277	31277	NearestStart
1	172407920	172408047	128	MACS_peak_168 ENSMUSG00000038473	MACS_peak_168	-	ENSMUSG00000038473	172248603	172487241	inside	79321	79194	NearestStart
1	14302657	14302831	175	MACS_peak_17 ENSMUSG00000025932	MACS_peak_17	-	ENSMUSG00000025932	14159035	14300281	upstream	-2376	2376	NearestStart
1	172976789	172976917	129	MACS_peak_170 ENSMUSG00000059498	MACS_peak_170	-	ENSMUSG00000059498	172981301	172989493	downstream	12704	4384	NearestStart
1	173401656	173401822	167	MACS_peak_171 ENSMUSG00000065033	MACS_peak_171	-	ENSMUSG00000065033	173433179	173433294	downstream	31638	31357	NearestStart
1	173954437	173954590	154	MACS_peak_172 ENSMUSG00000026556	MACS_peak_172	-	ENSMUSG00000026556	173931091	173958575	inside	4138	3985	NearestStart
1	174253497	174253656	160	MACS_peak_173 ENSMUSG00000038026	MACS_peak_173	-	ENSMUSG00000038026	174251164	174259394	inside	5897	2333	NearestStart
1	175320082	175320220	139	MACS_peak_175 ENSMUSG00000005338	MACS_peak_175	-	ENSMUSG00000005338	175264385	175297826	upstream	-22256	22256	NearestStart
1	178564459	178564575	117	MACS_peak_176 ENSMUSG00000065573	MACS_peak_176	-	ENSMUSG00000065573	178702456	178702554	downstream	138095	137881	NearestStart
1	178574529	178574765	237	MACS_peak_177 ENSMUSG00000065573	MACS_peak_177	-	ENSMUSG00000065573	178702456	178702554	downstream	128025	127691	NearestStart
1	180268348	180268501	154	MACS_peak_180 ENSMUSG00000039630	MACS_peak_180	-	ENSMUSG00000039630	180258431	180267915	upstream	-433	433	NearestStart
1	183960420	183960539	120	MACS_peak_186 ENSMUSG00000022995	MACS_peak_186	-	ENSMUSG00000022995	183835644	183949792	upstream	-10628	10628	NearestStart
1	188334463	188334737	275	MACS_peak_188 ENSMUSG00000039239	MACS_peak_188	-	ENSMUSG00000039239	188447529	188529868	downstream	195405	112792	NearestStart
1	16316042	16316144	103	MACS_peak_19 ENSMUSG00000025920	MACS_peak_19	-	ENSMUSG00000025920	16218891	16509322	inside	193280	97151	NearestStart
1	194660970	194661121	152	MACS_peak_193 ENSMUSG00000047384	MACS_peak_193	-	ENSMUSG00000047384	194659471	194660079	upstream	-891	891	NearestStart
1	20898710	20898915	206	MACS_peak_22 ENSMUSG00000077314	MACS_peak_22	-	ENSMUSG00000077314	20905491	20905621	downstream	6911	6576	NearestStart
1	30861949	30862104	156	MACS_peak_24 ENSMUSG00000048874	MACS_peak_24	-	ENSMUSG00000048874	30859187	30920101	inside	58152	2762	NearestStart
1	30904673	30904775	103	MACS_peak_25 ENSMUSG00000048874	MACS_peak_25	-	ENSMUSG00000048874	30859187	30920101	inside	15428	15326	NearestStart
1	34122615	34122762	148	MACS_peak_27 ENSMUSG00000084506	MACS_peak_27	-	ENSMUSG00000084506	34038244	34038347	upstream	-84268	84268	NearestStart
1	34160675	34160855	181	MACS_peak_28 ENSMUSG00000084506	MACS_peak_28	-	ENSMUSG00000084506	34038244	34038347	upstream	-122328	122328	NearestStart
1	6049344	6049457	114	MACS_peak_3 ENSMUSG00000033774	MACS_peak_3	-	ENSMUSG00000033774	5906385	5907374	upstream	-141970	141970	NearestStart
1	35172244	35172978	735	MACS_peak_30 ENSMUSG00000077231	MACS_peak_30	-	ENSMUSG00000077231	35235801	35235929	downstream	63685	62823	NearestStart
1	36614003	36614105	103	MACS_peak_35 ENSMUSG00000026121	MACS_peak_35	-	ENSMUSG00000026121	36605487	36615194	inside	1191	1089	NearestStart
1	41197479	41197675	197	MACS_peak_39 ENSMUSG00000057359	MACS_peak_39	-	ENSMUSG00000057359	40920579	40921064	upstream	-276415	276415	NearestStart
1	6438859	6439196	338	MACS_peak_4 ENSMUSG00000073741	MACS_peak_4	-	ENSMUSG00000073741	6204693	6205373	upstream	-233486	233486	NearestStart
1	46910516	46910658	143	MACS_peak_42 ENSMUSG00000025986	MACS_peak_42	-	ENSMUSG00000025986	46864389	46910354	upstream	-162	162	NearestStart
1	51565376	51565526	151	MACS_peak_45 ENSMUSG00000026107	MACS_peak_45	-	ENSMUSG00000026107	51527143	51535243	upstream	-30133	30133	NearestStart
1	52290304	52290444	141	MACS_peak_46 ENSMUSG00000026103	MACS_peak_46	-	ENSMUSG00000026103	52222427	52290076	upstream	-228	228	NearestStart
1	53010432	53010588	157	MACS_peak_48 ENSMUSG00000043629	MACS_peak_48	-	ENSMUSG00000043629	52979168	53020104	inside	9672	9516	NearestStart
1	54441263	54441384	122	MACS_peak_49 ENSMUSG00000041303	MACS_peak_49	-	ENSMUSG00000041303	54454425	54495815	downstream	54552	13041	NearestStart
1	6448139	6448259	121	MACS_peak_5 ENSMUSG00000073741	MACS_peak_5	-	ENSMUSG00000073741	6204693	6205373	upstream	-242766	242766	NearestStart
1	54541951	54542146	196	MACS_peak_50 ENSMUSG00000073678	MACS_peak_50	-	ENSMUSG00000073678	54532544	54532741	upstream	-9210	9210	NearestStart
